code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
THA004,สามชุก,14.751473,100.095834,สามชุก,สามชุก,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,9.602,7.184,1.947,
THA008,สามพราน,13.792160,100.197960,หอมเกร็ด,สามพราน,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,2.968,1.951,-7.672,
PAS009,นครหลวง,14.403124,100.586504,บ่อโพง,นครหลวง,พระนครศรีอยุธยา,แม่น้ำป่าสัก,กรุงเทพและปริมณฑล,4.405,3.877,-6.03,
PAS001,หล่มสัก,16.781580,101.246569,หล่มสัก,หล่มสัก,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,143.642,143.672,138.46,
PAS005,ชัยบาดาล,15.263862,101.192375,นิคมลำนารายณ์,ชัยบาดาล,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,46.973,43.256,34.02,
MKG005,บ้านแพ้ว,13.57559,100.07886,หนองบัว,บ้านแพ้ว,สมุทรสาคร,แม่น้ำแม่กลอง,ภาคกลาง,0.912,1.309,-2.03,
PRN001,ปราณบุรี,12.39006,99.91111,วังก์พง,ปราณบุรี,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,ภาคกลาง,6.627,8.263,-0.593,
CHN001,เมืองจันทบุรี,12.613600,102.114000,จันทนิมิต,เมืองจันทบุรี,จันทบุรี,ชายฝั่งทะเลตะวันออก,ภาคตะวันออก,3.4119,3.3409,-2.062,
DIV005,ท่อทองแดง1,16.497095,99.519492,หนองปลิง,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,77.64,77.94,73.42,
KWN001,นครไทย,17.10704,100.84586,นครไทย,นครไทย,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,202.138,201.597,196.54,
